sentence,og_sentence,kmeans_cluster,x,y
đúng rồi,Đúng r,1,-72.368195,-8.927434
để mình gọi lại,Để m gọi lại,2,-8.356547,-30.75318
ạ vậy ạ,Ah vậy ah,4,1.957787,72.997887
1273+177+1159 là thành 2 triệu mấy lận,1273+177+1159 là thành 2tr mấy lận,0,-17.761328,8.873798
tại mình thấy bên viettel báo 3 đơn có 3 lần cod,Tại mình thấy bên viettel báo 3 đơn có 3 lần cod,0,-2.661625,-0.822606
uh,Uh,2,-58.148354,-56.147461
cũi là kèm phụ kiện màn như trong ảnh hay phải mua rời ạ,Cũi là kèm phụ kiện màn như trong ảnh hay fai mua rời ạ,0,8.507187,0.563285
à em thấy gấp được rồi,À e thấy gấp đc rùi,0,16.480349,0.342672
mình lắp xong rồi nhưng thừa rồi chị biết ở trên,M lắp xong r nhưng thừa r chi tiết ở trên,0,10.796128,-5.159053
chắc chắn chuyển rồi bạn yên tâm nhé,Chắc chắn chuyển r bạn yên tâm nhé,1,-32.472569,9.290019
tech bạn ạ,Tech bạn ạ,1,-41.478348,-17.476303
mình không vào được link vậy shop,M ko vào đc link vậy sh?,1,-42.071419,3.592981
phaei,Phaei,4,-19.647177,64.796814
không lắp pin chạy kiểu giờ,K lắp pin chạy kiểu h,0,21.494446,7.156873
không thấy ý kiến gì lại,K thấy ý kiến j lại,0,-9.459845,18.846722
sau đó mất hút,Sau đó mất hút,5,28.097227,49.978249
em mua máy này bên mình mà về không sao cùng được,E mua máy này bên mình mà về k sao dùng đc,0,0.287347,-14.453192
phí vận chuyển sao,Phí vận chuyển sao,1,-48.559116,4.614626
mình hỏi hai cái,Mình hỏi hai cái,5,42.328472,16.815453
mình nhận được rồi bạn nha,Minh nhan dc r ban nha,1,-65.023209,-23.436743
giao cho nhân hang nha bạn,Gio  cho nhan hang nha ban,5,39.757526,6.66822
bạn duyet đơn chưa,Bạn duyet đơn chưa,0,5.861073,-6.794014
bạn duyet xong chưa,Ban duyet xong chua,0,-15.189642,8.711988
không thấy nó thong bao gi het,K thay no thong bao gi het,0,22.578571,8.906715
vậy mình đặt hàng nha,Vậy minh dat hang nha,5,51.51173,36.790466
0971345604,0971345604,4,-3.017601,42.766201
bạn gửi hàng giúp mình chưua bạn,B gửi hàng giúp mình chưua b,2,20.935314,-52.722542
bên em hải 0911071545 được cầu cao thị trấn nam đàn nghệ an,"Tên: em hải. 0911071545
Dc:Cầu cao Thị trấn Nam Đàn Nghệ an",0,-1.319249,4.246323
shop check rồi liên hệ gửi hàng giúp em nhé,Shop check rồi liên hệ gửi hàng giúp e nhé,2,-27.058842,-34.870995
1340k,1340k,3,51.656994,-25.523804
kho che xuat tan thuan quan 7,Khu che xuat tan thuan quan 7,5,28.305264,16.975735
bên mình có bán cầu tuột,Bên mình có bán Cầu tuột,2,16.772217,-47.706921
máy gồm những gì vậy ad mình ở hồ chí minh thì trong trường hợp cần bảo hàng là gửi máy ra hà nội dug không hả,May gồm những gì vậy ad. Mình ở hcm thì trong trường hợp cần bảo hành là gửi máy ra HN dug k ha,2,-2.411304,-32.121975
bạn chính hãng hay nội địa trung vậy ad và che do bao hanh như thế nào hả,Bản Chính hãng hay nội địa trung vậy ad. Và che do bao hanh ntn ha,4,-26.191687,56.936081
máy avent hoa tuyết đôi thì sao ad,máy avent hoa tuyết đôi thì sao ad,3,24.959059,-15.282861
mình muốn tìm mua cầu trượt cho bé trai 3 tuổi,Mình muốn tìm mua cầu trượt cho bé trai 3 tuổi,5,32.237827,44.56485
lắp vào quây kiểu như thế nào ạ,Lắp vào quây kiểu ntn ạ,4,-31.14393,66.042648
sao video nhìn bể khác với bể trong suốt bạn gửi,Sao video nhìn bể khác với bể trong suốt bạn gửi,0,0.9804,16.553473
hay chỉ đặt đúng thôi ạ,Hay chỉ đặt đứng thôi ạ?,0,7.899354,-1.344461
da,Da,1,-62.855541,-43.041447
cần cắm hay xanh vậy bạn,Còn cam hay xanh vậy b,5,15.908562,33.115662
xã định an gì quao kg,Xã định an gì quao kg,0,19.199011,-0.791901
mình xin mẫu cầu trượt,Mình xin mẫu cầu trượt,1,-45.154552,-3.402559
xanh dương,Xanh dương,2,-10.971583,-33.867435
cho tớ xin được,Cho t xin đc,4,3.962332,35.221855
đây shop này cũng vạn an lại rẻ hơn tí,"Đây, shop này cũng Vạn An lại rẻ hơn tí",1,-35.188492,-20.305407
điện mình như shop này,Điển hình như shop này,0,15.930759,-8.299954
bao giờ có bao chị nhé,Bao h co bao c nhé,4,-30.566397,33.474567
mình lấy mẫu này nhé,Mình lấy mẫu này nhé,3,55.770317,-2.12613
mẫu 2019 hay mẫu 2020 gì đó,Mẫu 2019 hay mẫu 2020 gì đó,0,0.887357,-0.967209
con gắn được lên ô tô không ạ,Cod gắn đc lên ô tô ko ạ,3,11.724703,-30.112404
bạn check nhé,B check nhé,1,-68.772987,14.178455
cho mình còn này nữa nhé,Cho m con này nữa nhé,3,38.552719,-29.073082
0889606266,0889606266,2,2.743748,-61.879444
tối giao không được ạ em,Tối giao k dc ah e,3,40.23922,-20.710634
uh,Uh,2,-57.329479,-56.256481
cái này nữa,Cái này nữa,5,58.398941,13.891749
liên lạc được rồi nhé,Liên lạc dc rồi nhé,0,-16.948055,-15.618546
mình đang gọi lại,Mh đang gọi lại,1,-57.329308,-0.191986
0906231083,0906231083,2,-27.208229,-32.427238
cạnh đh thương mại,Cạnh ĐH Thương Mại,0,-21.942482,2.475814
sản 11 nghách 39 ngõ 75 hồ tùng mậu mai dịch cầu giấy hà nội,"Sn 11, nghách 39, ngõ 75, Hồ Tùng Mậu, Mai Dịch, Cầu Giấy, HN",5,26.846317,15.821392
ở hồ tùng mậu,Ở Hồ Tùng Mậu,5,13.380231,43.506615
mình muốn đặt mua cái này,Mh muốn đặt mua cái này,5,37.743107,49.209541
mẫu này thì sao ạ,Mẫu này thì sao ạ,2,1.752403,-39.629196
cho mình không tin,cho m thông tin,3,47.06356,-41.755375
mình bảo ông nhận cho,m bảo ông nhận cho,2,-13.746008,-46.165409
để mình hỏi đã nhé có mình nhắn lại,Để mình hỏi đã nhé có mình nhắn lại,5,33.691227,33.01535
mình ở bắc giang,Mình ở bắc giang,1,-33.878342,-16.477049
cửa hàng mình ở hà nội a,Cửa hàng  mình ở hà nội a.,2,-13.138726,-39.224659
11 cách được khuyến mại thôi ạ,11 cách được km thôi ạ,5,14.012148,26.372877
xong bạn gueỉ viettel cho mình,Xong bạn gueir Viettel cho mình,3,27.512274,-26.752291
thường hạnh 0978115688 số 7 tuệ tĩnh phường hà huy tập thành phố vinh nghệ an,"Phương hạnh 0978115688 số 7 tuệ tĩnh, phường hà huy tập, thành phố Vinh, nghệ an",2,-3.413122,-29.150469
thế cho mình 1 lọ 500ml 05 lọ 100ml nhé,"Thế cho mình 1 lọ 500ml, 05 lọ 100ml nhé",3,34.988007,-16.739119
cái này của việt nam hả bạn,Cái này của Việt Nam hả B,5,34.548935,39.683762
chai 100ml là 49k hả bạn,Chai 100ml là 49k hả bạn,1,-20.993185,-14.205596
cho mình hỏi máy tiệt trùng fats,Cho mình hỏi máy tiệt trùng fats,3,56.584911,-28.42837
3 chai 100ml 3 chai 50ml,"3 chai 100ml, 3 chai 50ml",0,10.253195,-1.216992
mai chị chưa nhận hàng được đâu em hoãn đơn cho chị nhé,"Mai c chưa nhận hàng đc đâu, e hoãn đơn cho c nhé",1,-31.495829,-8.099687
cho mình kích cỡ đệm để mấy ga nhé,Cho mình kích cỡ đệm để may ga nhé,0,20.047497,-9.970043
thứ 5 tuần này nhé bạn,Thứ 5 tuần này nhé b.,0,-3.802591,22.753637
không bạn ạ giao về vinhomé rivẻide,Không b ạ. Giao về vinhomes riverside.,2,-14.346831,-55.625168
bạn giao về đơn nguyên 4 toà ct1 khu đô thị mđ sông đà,B giao về đơn nguyên 4 toà ct1 khu đô thị mđ sông đà,0,4.245739,-8.467405
không,Ko,3,76.931404,2.138584
sao có người vừa gọi giao hàng,Sao có Ng vừa gọi giao hàng,0,-15.484926,9.236782
0975755997,0975755997,3,19.840927,-35.056782
cho mình cả hai mẫu trên nhé,Cho mình cả hai mẫu trên nhé,3,26.815407,-14.048253
chọn mấy ngày nhận được,Chừng mấy ngày nhận đc,1,-59.019905,-18.75951
mình ở hồ chí minh nè bạn,Minh o hcm ne ban,2,4.737895,-78.161263
minh nuon mua máy này mà không lấy máy hâm sữa nhé shop,Minh nuon mua may nay ma ko lay may hâm sữa nhe shop,0,-2.882372,-16.213303
mình gọi cho shop không được để hoi chut a,Minh goi cho Shop k duoc de hoi chut a,0,-6.265042,4.167139
trọng tâm y te thành phố ha tiên kien giang,Trung Tâm y Te Tp ha Tiên.  Kien giang,2,-0.378624,-32.121868
tuần này nhận được hàng phai không bạn,Tuan nay nhan duoc hang phai ko ban?,1,-55.375389,-18.837999
hôm nay thứ 4,Hom nay thu 4,5,36.991722,8.651728
bạn gửi hàng hom thu 6 dung không,Ban gui hang hom thu 6 dung ko,0,12.27116,18.11274
gửi hàng chưa em,Gui hang chua e,0,2.540007,23.579485
oh,Oh,2,19.872002,-71.422356
mình là gì,Mk là gi ?,5,23.20118,32.747307
ca tuần lễ,Ca tuần lễ,5,24.313744,24.213058
xong nhé làm ơn gui đi đi nhé,Xong nhe lam ơn gui đi đi nhe,4,-16.469042,24.676979
280 thoi dung không,280 thoi dung ko,0,-15.636423,-4.336977
cho hàng đi đi nhé,Cho hang đi đi nhe,5,15.42837,22.969419
mấy ngày nhận được hàng,May ngay nhan duoc hang?,1,-60.283501,-20.145369
nhận hàng thôi nhé,Nhan hang thoi nhe,1,-36.488018,-30.758221
làm an kiểu này mất khách chet luon,Lam an kiểu nay mất khách Chet luon,5,21.332609,29.910011
số nhà 13 ngõ 639/39 hoàng hoa thám,số nhà 13 ngõ 639/39 Hoàng Hoa Thám,5,31.135242,16.405296
vậy nhờ bạn,vậy nhờ bạn,2,5.262627,-36.12281
s tư vấn cho em với,S tư vấn cho e với,3,24.461256,-49.349106
này nè,Này nè,1,-47.480827,-31.03763
0378330178,0378330178,3,16.684938,-34.901894
35 nguyễn văn cừ thị trấn an thới huyện phú quốc tỉnh kiên giang,35 Nguyễn văn cừ thị trấn an thới huyện phú quốc tỉnh kiên giang,0,-3.913112,-4.453924
em lấy con vịt nha,Em lấy con vịt nha,3,20.358198,-10.007571
có thì em lấy thêm,Có thì e lấy thêm,3,48.489044,-8.240483
báo nóng là sao ạ,Báo nóng là sao ạ,0,22.349979,1.845518
nhà mình nhỏ nên mình muốn mua loại nhỏ thôi,Nhà mình nhỏ nên mình muốn mua loại nhỏ thôi,5,36.435963,58.772129
mình chưa cần mua gấp tầm 1-2 tuần nữa cũng được,"Mình chưa cần mua gấp, tầm 1-2 tuần nữa cũng đc",0,-2.130627,12.203425
không phải loại 7l đâu,Ko phải loại 7l đâu,3,36.717205,-13.356605
loại 15l ấy,Loại 15l ấy,0,-12.439087,-1.927656
bên bạn còn cái này kh,Bên b còn cái này kh,3,37.98103,-18.040157
bạn gọi đi,B gọi đi,5,16.786364,48.771671
để mình nhắn,Để mình nhắn,5,46.35162,42.065483
chắn ở này chứ ngủ dậy,Chắc ô này chứ ngủ dậy,1,-25.46492,-3.571487
à mình 18 a trần hưng đạo hà đông bạn nhed 0915222228,"A Bình
18 a trần Hưng đạo hà đông b nhed
0915222228",0,13.48604,3.552383
à mình 18 a trần hưng đạo 0915222228,"A Bình
18 a trần Hưng đạo 
0915222228",3,34.174572,-10.701459
mẫu ghế đây hết hay bình đó hết zạy bạn,Mẫu ghế đây hết hay hình đó hết zạy b,3,20.697416,-21.049215
mình xin đến đó để mua luôn ạ,Minh xin đến đó để mua luôn ah,0,15.696507,-6.735526
bên em,Bên e,0,-19.981335,-4.677418
alô em,Alô e,4,-35.865173,37.30323
mình không thấy hình,Mình không thấy hình,1,-41.87402,-6.614502
chị ởi,C ởi,5,13.694611,27.789337
là cả bộ ạ,Là cả bộ ạ,4,-51.215904,29.886894
vg ạ,Vg ạ,4,-33.441174,50.070087
nhựa kiểu này ý ạ,Ngựa kiểu này ý ạ,3,16.140652,-21.458931
mình mua với thông mình bên bạn mới dùng được mấy lần mà lỏng 1 bên tai rồi,Mình mua voi thông minh bên b mới dùng đc mấy lần mà hỏng 1 bên tai r,0,-1.03109,8.496711
ôi thế ạ bạn,Ôi thế ah b,5,34.835835,23.515446
cần thơ,Cần thơ,4,-35.297741,48.215725
mình muốn mua sản phẩm này ạ,Mình muốn mua sp này ạ,5,39.592258,61.326286
shop ở cần thơ đúng không ạ,Shop ở cần thơ đúng k ạ,2,-28.287151,-59.821373
ủa mình thấy để 1xx,Ủa m thấy để 1xx,0,5.170817,25.609291
cho em 1 con 45cm nhé,Cho e 1 con 45cm nhé,0,-3.405689,-4.251335
mình đặt tiki rồi nha,Mình đặt tiki rồi nha,5,25.766386,11.744021
bao giờ shop giao cho mình nhỉ,Bao giờ shop giao cho mình nhỉ?,3,51.257862,-24.424322
mai shop giao cho mình được không nhỉ,Mai shop giao cho mình đc ko nhỉ,2,-16.914602,-66.984169
cho mình đặt 1 quây 1m6x1m8 nhé cái này kiểm tra hàng kiểu gì shop nhỉ tự lắp lỗi báo lại shop à,"Cho mình đặt 1 quây 1m6x1m8 nhé
Cái này kiểm tra hàng kiểu gì shop nhỉ? Tự lắp, lỗi báo lại shop à?",0,14.679892,3.593984
shop thanh lí giúp mình cái cũi với ạ,Shop thanh lí giúp mình cái cũi vs ạ,2,15.697621,-48.588142
quây cũi,Quây cũi,4,-43.106152,47.953007
ủa vậy lấy em size đó cunh được,Ùa v lay e size đó cunh đc,0,-5.282765,6.949914
là 153 đó hả shop,Là 153 đó hả shop,1,-23.405697,10.853877
bông hoa,Bông hoa,4,-21.630688,36.65369
mẫu bảng hoq,Mẫu bông hoq,4,-14.099327,41.871262
lấy em cái quây với hộp trữ sữa mha,Lay e cái quây vs hộp trữ sữa mha,0,-5.388111,21.384218
hôm nay lúc nào bên bạn qua được ạ,Hnay lúc nào bên bạn qua đc ạ,3,37.607521,-18.9373
0979 047 959,0979.047.959,0,2.140772,-19.688791
rồi bạn báo mình nhé,Rồi b báo mình nhé,1,-22.840651,-19.291317
5r bên bạn qua được không,5r bên bạn qua đc k,2,-30.853155,-52.801357
mình ở số 64a ngõ 612 đê la thành,Mình ở số 64A ngõ 612 Đê La Thành,0,-20.625223,-8.706471
mình lấy 1 thanh 1 8m,Mình lấy 1 thanh 1.8m,3,45.786133,-12.311026
mình báo rồi đó,Mình báo rồi đó,4,-19.438713,30.96299
bên bạn qua lắp hộ mình nhé,Bên bạn qua lắp.hộ mình nhé,0,3.063218,-18.379129
mình ở số 64a ngõ 612 đê la thành,Mình ở số 64A ngõ 612 Đê La Thành,0,-20.625139,-8.706448
cod,Cod,1,-54.179611,29.528843
ghế ở cửa hàng,Thế ở cửa hàng,3,25.327713,-32.593704
nhà chị ngay tô ngọc vân thoii,Nhà c ngay tô ngọc vân thoii,4,-13.308973,20.845669
tầm trưa,Tầm trưa,5,44.525883,11.113864
tầm 12h có mặt nhé,Tầm 12h có mặt nhé,4,3.556373,36.15358
0765678666,0765678666,2,-7.012581,-46.697861
6 ngõ 86 tô ngọc vân,6 ngõ 86 tô ngọc vân,0,13.22517,12.284722
trong này chị thấy mui mà,Trong này c thấy mui mà,2,-28.241192,-28.833721
cho chị 1 bộ về bảo trang 56 an dương vương thành phố quảng ngãi tel 098 5884477,"Cho chị 1 bộ về Bảo Trang, 56 An Dương Vương, TP. Quảng Ngãi. Tel: 098 5884477",2,-2.511062,-32.15123
đây ạ,Đây ạ,5,68.9842,49.742558
đây chị ạ,Đây c ạ,1,-55.023804,-3.010148
là em cứ chờ,Làm e cứ chờ,1,-55.787411,-8.65339
đây ạ,Đây ạ,5,68.9842,49.742558
nên thôi nhé,Nên thôi nhé,1,-36.367344,9.447824
à cái chỗ ngồi vải của nó dầy không bạn,À cái chỗ ngồi vải của nó dầy k bạn,0,8.282231,-10.195645
mỹ đình bann,Mỹ đình bann,2,-18.51964,-19.965393
bạn đi don cho mình sớm nhé,ban di don cho minh som nhe,3,42.002678,-28.679733
vietcombank bạn nhé,VCB bạn nhé,2,1.296248,-50.33297
tại mình đang cần gấp để tặng ý,tại mình đang cần gấp để tặng ý,1,-42.429764,-8.757461
0373680678,0373680678,2,-3.144257,-45.870937
tưởng 3a kcn mỹ xuân a p mỹ xuân tx phú mỹ brvt,"Đường 3A, KCN Mỹ Xuân A, P. Mỹ Xuân, Tx. Phú Mỹ, BRVT",0,-3.695814,10.356263
bạn giao về cũng ty cp kd khí miền nam - cn đồng nai,Bạn giao về Công ty CP KD khí miền Nam - Cn Đồng Nai,0,-17.294756,3.243461
máy có thể 1 lần sử dụng được máy mình sữa ạh,Máy có thể 1 lần sử dụng được may bình sữa ạh,3,25.158955,-11.636252
gửi chuyến hàng cho em shop nhed,Gửi chuẩn hàng cho e shop nhed,3,23.587467,-45.681461
0966217866,0966217866,4,-41.631828,31.59383
0865409487,0865409487,5,54.829113,35.85281
sn72-bưng ông thoàn-khu phố 2-phường phú hữu-quận9-tphcm,Sn72-Bưng ông thoàn-khu phố 2-phường phú hữu-quận9-tphcm,4,6.945133,43.364006
không vào tới nỗi nó xước hết,Ko vào tới nơi nó xước hết😁,4,1.681782,34.546654
được tặng áo hút sữa là áo của avent hay gì vậy bạn,Đc tang ao hut sữa là áo của avent hay j vậy b,0,-1.195546,24.05617
mua máy avent bên bạn,Mua máy avent bên b,5,15.048922,21.430182
0865356336,0865356336,5,48.106281,26.93177
sản 21a tổ 1 tân bình xuân mai chương mỹ hà nội,"Sn 21a, tổ 1, tân bình, xuân mai, chương mỹ, hn",4,-24.028111,30.30901
mình chuyển rồi nhé,Mình chuyển r nhé,1,-57.448624,22.960951
mình về xuân mai chương mỹ hà nội,"Mình về xuân mai, chương mỹ, hn",0,-5.710447,-15.763342
tiện mình odẻ luôn,Tiện mình oder luôn,5,49.86092,6.438811
tớ gửi hàng ngày túi xách giầy dép aut,Tớ gửi hàng ngày túi xách giầy dép aut,0,2.215238,14.362033
cước 100 không hôm nay gửi mai sài gòn nhận,Cước 100 k hnay gửi mai sg nhận,0,1.057818,26.608915
cao thì cũng tàm hơn trăm mà,Cao thì cũng tàm hơn trăm mà,2,-23.666267,-25.363247
mình ở sài gòn,Mình ở sg,2,-33.707851,-41.127647
hết trương trình rồi hả bạn,Hết trương trình rồi hả bạn,0,24.156069,-3.42966
tớ thấy bạn đăng 2 200k,Tớ thấy bạn đăng 2.200k,1,-32.289215,0.252148
cho n mau gì bạn,Co n mau j b,0,10.991845,11.001745
phải od à,Phải od à ?,2,-0.109308,-32.624992
của trung quốc hay hàn quốc vậy bạn,Của TQ hay HQ VẬY B,0,-12.658824,17.676168
oh`,oh`,4,3.915764,56.25069
anh long bạn nhé,Anh Long bạn nhé,0,-12.885589,-6.656049
0399699960,0399699960,2,-25.609026,-27.646105
tí bạn giao hàng gọi vào số này nhé,Tí bạn giao hàng gọi vào số này nhé,0,13.264801,-17.897837
mấy giờ bạn giao hàng thế ạ,Mấy h bạn giao hàng thế ạ,3,27.709539,-42.235405
thế t3 bạn giao giúp mình nhé,Thế t3 bạn giao giúp mình nhé,3,25.877224,-55.024357
lại cả ngày hôm đó mình không ở nhà,Tại cả ngày hôm đó mình ko ở nhà,0,-11.603946,20.532946
t2 bạn giao hàng trước 10h sáng giúp mình nhé,T2 bạn giao hàng trc 10h sáng giúp mình nhé,3,24.870861,-53.421665
nếu giao sang thì trước 11h,Nếu giao sáng thì trc 11h,0,-0.119551,-3.498709
size 153cm x 156cm x 60cm gồm 13 cánh 1 cửa,Size 153cm x 156cm x 60cm ( gồm 13 cánh & 1 cửa),1,-25.186808,8.35414
bây giờ bên bạn nghỉ rồi ạ hĩ,Bây h bên bạn nghỉ r ạ hix,1,-24.173506,-1.187831
30’ nữa tớ qua,30’ nữa t qua,0,-13.307078,6.883132
tí tớ qua,Tí t qua,4,0.735454,30.720118
quả bóng đó ạ,Quả bóng đó ạ,1,-48.121635,-1.798952
tí có người nhà đến ạ,Tí có ng nha đến ạ,0,-19.522707,7.736055
máy này bên mình bán thế nào ạ,Máy này bên m bán thế nào ah,4,-24.918179,61.847927
sỉ ađ số nào vậy ạ,Sỉ add số nào vậy ạ,4,-7.912951,50.210358
bóng viết bút foc lên được không ạ,Bảng viết bút foc lên dc k a,2,-22.322401,-59.684715
bé nhà mình hơn 2 tuổi ngồi được chưa,Bé nha minh hơn 2tuoi ngoi dc chua,1,-48.34642,6.448726
bóng vẽ bút fõ lên được không bạn,Bảng vẽ bút fox lên dc k b,2,-22.487631,-59.028358
gồm những gì,Gồm những gì,5,16.589636,46.548225
mình muốn xanh có,Mình muon xanh co,5,38.292007,48.334267
vải yến,Hải Yến,0,22.617382,6.227262
0973551802,0973551802,1,-27.309778,10.673741
nếu gần tớ nhờ người qua lấy,Nếu gần tớ nhờ ng qua lấy,4,-24.222973,29.208086
quận nào bạn,Quận nào bạn,5,25.173304,42.251118
thế để từ từ cửa hàng mình ở đâu,Thế để từ từ. Cửa hàng mình ở đâu,3,21.423677,-27.178642
chuyển cho tớ nhé,Chuyên cho tớ nhé,4,-31.080667,22.843348
bé 1 tuổi dùng được không shop,Bé 1 tuổi dùng đc k shop,2,-24.436945,-45.067863
nhựa,Nhựa,2,-38.016369,-50.325882
em muốn được từ vấn về quây bóng nhựa,Em muốn được tư vấn về quây bóng nhực,0,-5.110435,9.408401
bảoh hành về ạ,Baoh hàng về ạ,3,44.970264,-15.954335
có nhưng hãng nào,Co những hàng nào,0,-15.646944,-0.522465
nôi đó có mấy mày shop,Nôi đó có mấy mày shop,0,2.91008,9.50046
to như nào nhỉ,To như nào nhỉ,4,-21.847034,51.566402
thế cầu trượt thì chỉ còn loại to thôi à bạn,Thế cầu trượt thì chỉ còn loại to thôi à bạn,1,-22.447374,-19.271732
thạch bàn,Thạch Bàn,5,51.135162,34.771572
mình muốn mua ghế này,Mình muốn mua ghế này,5,41.996975,61.573174
bạn gửi sớm giúp mình cho bé dùng nha,Bạn gửi sớm giúp mình cho bé dùng nha,3,22.97492,-54.000557
mình chuyển rồi nhé,Mình chuyển rồi nhé,1,-57.448624,22.960951
bạn gửi cho mình mẫu đường phố nhé,Bạn gửi cho mình mẫu đường phố nhé,3,47.955708,-30.08946
xong bạn hỗ trợ,Mong bạn hỗ trợ,4,0.024831,37.86676
bao giờ có hàng về tiếp ạ,Bao giờ có hàng về tiếp ạ,5,42.376659,30.856398
nhanh qua video không rõ lắm,nhìn qua video ko rõ lắm,5,20.037235,35.538055
tớ trong có vẻ bé,T trông có vẻ bé,4,-17.702099,19.567396
trc cao 90cm,Trẻ cao 90cm,5,30.718594,58.505775
thú nhún,Thú nhún,2,-38.236012,-44.107594
shop đóng cửa sớm à,Shop đóng cửa sớm à,0,-12.063605,4.993131
hôm nay có vđề gì à,Hôm nay có vđề gì à?,2,-14.956599,-39.473335
sau thế bạn,Sao thế bạn,0,2.093951,-13.300309
thế mấy giờ bạn giao được,Thế mấy giờ b giao được,3,28.224802,-40.519985
trọng lượng bao kg,Trọng lượng bao kg,4,-17.907417,55.705509
à mà cái thú nhún,À mà cái thú nhún,4,0.009757,26.906767
cái gì cũng hết ạ,Cái gì cũng hết ah :(,0,-11.08064,-9.914799
bóng bằng nhựa dẻo chứ ạ,Bóng bằng nhựa dẻo chứ ah?,5,27.363419,22.304085
vậy còn quả bóng này ạ,Vậy còn quả bóng này ah?,4,-26.107868,20.998463
em cún này nữa ạ,Em cún này nữa ah,4,-47.488483,28.125679
bán gấp cho chị nhé,Báo gấp cho c nhé,1,-32.511169,-6.093766
em nói gì vậy em,Em nói gì vậy em,4,-30.223299,33.650829
bệ vẽ bằng gì lên bằng hả shop,Bé vẽ bằng gì lên bảng hả sh?,0,-12.171085,13.493443
mình không lấy hâm sữa nhé,Mình ko lấy hâm sữa nhé,4,-25.429964,16.92934
mình không lấy máy hâm sữa,Mình ko lấy máy hâm sữa,4,-25.60071,17.381657
cho mình mua máy sấy khô tiệt trùng này,Cho mình mua máy sấy khô tiệt trùng này,3,32.202782,-37.383709
0933918221,0933918221,4,-23.5016,23.521204
được 193 đường số 1 p 11 gò vấp nhé bạn,"Đc . 193 Đường Số 1 , P 11, Gò Vấp nhé bạn .",0,1.33611,5.740709
mẫu trước tết giao cho bình đó bạn,Mẫu trc tết giao cho mình đó bạn,0,4.056339,-13.718825
bạn giao cho mình cái ghế nữa nhé,Bạn giao cho mình cái ghế nữa nhé,3,41.155075,-30.483742
rồi đặt hàng ở face được không,Rồi đặt hàng ở face đc ko,2,-23.608551,-45.472878
luôn,Luôn,2,-7.212448,-63.20892
em ở nam định,E ở nam định,4,4.511441,50.974827
dài rộng cao ấy ạ,Dài rộng cao ấy ạ,2,-24.110954,-40.294487
kích thước của máy 2 300k thế nào ạ,Kích thước của máy 2.300k thế nào ạ,4,-29.325483,62.540909
02485855678,02485855678,3,18.524424,-34.992832
mình mua của shop ngày này đẩy,Mình mua của shop ngày này đây,1,-35.798412,19.278471
shop giúp mình với ạ,Shop giúp mình với ạ,2,22.35527,-57.397331
link,Link,2,-3.827659,-55.506218
thế cho chị xin lọn,Thế cho c xin lọn,1,-42.616928,12.777904
z gui không được hak shop,Z gui k dc hak shop,0,11.000295,18.774446
lấy cho mình 1c mau hong,Lay cho minh 1c mau hong,3,45.479927,-30.309406
480 là có cái gì chị nhỉ,480 là có cái gì c nhỉ,5,23.286018,25.336025
mỗi lần dùng xong gấp gọn để cất không ạ,mỗi lần dùng xong gấp gọn để cất k ạ,2,6.529179,-29.899979
chất liệu gì vậy ạ,chất liệu gì vậy ạ,4,-10.980484,59.127735
bé mình 10 tháng rồi dùng được không bạn,Bé mình 10th rồi dùng đc k b?,2,-23.506018,-58.211899
cho mình ảnh bể,Cho m ảnh bể,3,44.037891,-32.299385
mình lấy cho bé nhà bạn,Minh lấy cho bé nha bạn,0,-7.71348,-2.489145
mình chưa nhận được đâu bạn,M chưa nhận đc đâu b,1,-62.313915,-16.631878
số 128 ngõ 401 xuân đỉnh,Số 128 ngõ 401 xuân đỉnh,0,18.740276,7.629757
cho mình lấy bộ này nhé,Cho m lấy bộ này nhé,3,42.568756,-37.582077
đúng 0967715397,Dũng 0967715397,1,-41.093601,-16.173738
cho mình mua con này,Cho mình mua con này,3,49.653946,-33.525276
cho em hỏi cầu trượt của hãng nào ạ,Cho e hỏi cầu trượt của hãng nào ạ,0,7.902482,-25.087952
cửa hàng ở đâu em,Cửa hàng ở đâu em?,5,51.486732,22.297508
chị muốn mẫu ghế gội đầu cho người lớn kích thước em nhé,Chị muốn mẫu ghế gội đầu cho người lớn kích thước em nhé,2,9.198074,-39.261486
bên kia vừa gọi cho mình là lỗi bảng mạch bên kia sẽ bảo hàng nhưng bảo mình phải bế máy lên tận văn phú hà đông thì mình làm gì có thời gian mà bé lên,Bên kia vừa gọi cho mình là lỗi bảng mạch. Bên kia sẽ bảo hành. Nhưng bảo mình phải bê máy lên tận văn phú hà đông thì mình làm gì có thời gian mà bê lên,0,13.738462,4.091403
báo giúp mình nhé,Báo giúp mình nhé,3,26.681541,-58.788082
mua hôm 18/12,Mua hôm 18/12,4,-31.309513,44.271439
bên khác hãng lê xuân mạnh,Tên khách hàng: lê xuân mạnh,0,-8.104759,-18.329702
để mình nhờ tư vấn,Để mình nhờ tư vấn,3,55.859619,-11.388152
số của bên hãng được không,Số của bên hãng đc k,2,-25.029268,-47.974174
vậy shop cho mình,Vậy shop cho mình,3,53.108414,-38.20792
đèn uv sáng 3 giây song chuyển sang lỗi e3,Đèn uv sáng 3 giây song chuyển sang lỗi e3,0,0.42801,-17.148199
