sentence,og_sentence,kmeans_cluster,x,y
cho chị link nhé em,Cho c link nhe e,4,-39.420181,-14.327366
cho link nhé,Cho link nhé,4,-32.263325,-11.469532
uh em,Uh e,2,3.722009,25.566072
chị chưa,Chị chưa,4,-60.07523,23.420298
0375004553,0375004553,5,77.531998,-31.595703
muốn nhất là mấy giờ em,Muộn nhất là mấy giờ e,4,-53.080845,-20.402477
khoảng mấy giờ em,Khoảng mấy giờ e,4,-44.473007,40.525944
đúng rồi shop,Đúng rồi shop,4,-70.180153,14.197208
cái quây này nếu mình mua cỡ to mà muốn lắp nhỏ hơn thì vẫn tháo ra được đúng không,cái quây này nếu mình mua cỡ to mà muốn lắp nhỏ hơn thì vẫn tháo ra đc đúng ko,4,-34.015862,-0.829509
không cần báo lại đơn ở đấy đúng không bạn,ko cần báo lại đơn ở đây đúng ko b,4,-56.588558,22.993534
mình đặt trên tiki nhé,mình đặt trên tiki nhé,4,-49.135864,-3.862802
quây hola thì được tặng kèm thảm bạn nhỉ,quây hola thì đc tặng kèm thảm b nhỉ,3,-18.498541,5.761272
mai bạn nhé,Mai b nhép,4,-64.773705,22.251272
lại nhỉ,Lạ nhỉ,1,-37.91761,-43.383442
về 460 khương đình,Về 460 khương đình,0,95.299911,8.505158
mình muốn lấy hôm nay,M muốn lấy hnay,4,-63.240791,44.540813
cửa hàng mãi tây hồ ạ bạn,Cửa hàng mãi tây hồ ah b,2,-27.368505,58.691383
tớ lấy mẫu mac nach 30,T lấy mẫu mac nach30,0,77.152916,14.847453
mai giao được không bạn tại t2 tớ đi làm,Mai giao đc k b? Tại t2 t đi làm.,4,-39.13784,39.714962
giao giúp mình trong ngày hôm nay nhé,Giao giúp mình trong ngày hôm nay nhé,4,-64.322968,45.930191
lấy mình nhé,Lấy mình nhé,4,-61.146366,-6.997286
bình thường giao từ hà nội đến hp mất tầm 2n shope,Bình thường giao từ HN đến hp mất tầm 2n shope,2,17.782295,76.165115
mình ở hải phòng,Mình ở hải phòng.,2,-0.042153,63.82457
là mua bể được tặng kèm những đồ đấy luôn ạ,Là mua bể đk tặng kèm những đồ đấy luôn ạ?,3,1.468367,-16.018974
sr bạn,sr b,0,58.669197,3.83674
mình lấy 2 cái trên thôi bạn nhé,m lấy 2 cái trên thôi b nhé,4,-58.926483,-26.808197
cố gắng sớm giúp mình nhé,Cố gắng sớm giúp m nhé,2,15.220797,32.24382
giao tận nhà nhé,Giao tận nhà nhé,2,-12.700225,46.33828
gửi giúp tớ luôn nhé,Gửi giúp t luôn nhé,4,-60.541553,17.273695
shop gửi cho mình nhé,Shop gửi cho m nhé,4,-67.320183,-14.918288
2c nhé,2c nhé,0,73.991035,26.614031
mình lấy thêm set thìa này 2c nhé,Mình lấy thêm set thìa này 2c nhé,3,33.603558,5.994704
vậy đợi mình chọn thảm,Vậy đợi mình chọn thêm,3,28.847588,0.10888
gồm bát và thìa,Gồm bát và thìa,0,66.354141,10.56124
bao giờ hàng về vậy bạn,Bao giờ hàng về vậy bạn?,4,-79.038963,10.432524
model fb4702km,Model FB4702KM,5,63.519218,-52.822372
cái như này là dài rộng như nào ạ,cái như này là dài rộng như nào ạ,1,4.212677,-61.924671
kích thước là dài 132cm rộng 132cm cao 60cm ạ,kích thước là dài 132cm rộng 132cm cao 60cm ạ,5,25.061228,-43.698021
làm mình hôm nay cứ phải ở nhà chờ,làm mình hnay cứ phải ở nhà chờ,2,-37.440086,45.436085
hàng clieu đảm bảo đúng không bạn,hàng clieu đảm bảo đúng k b,0,27.103931,33.111378
tháng tây tòa hancỏ plaza 72 trần đăng ninh dịch vọng,"tháp Tây, tòa Hancorp Plaza, 72 Trần Đăng Ninh, DỊch Vọng",0,96.202026,8.050262
nhanh thế nào nhỉ,Chỉnh tnao nhỉ,1,6.655319,-59.96645
về lắp nó bị lệch,Về lắp nó bị lệch,3,-9.239286,5.282388
hôm qua mình có mua cái ghé này,Hqua mình có mua cái ghé này,4,-35.860378,17.079277
cho mình 1c nhé,Cho mình 1c nhé,3,-21.875313,-5.211548
không lấy bàn ghế nữa bạn ạ,K lấy bàn ghế nữa b a,1,-33.266457,-49.356903
mình lấy cầu trượt thôi bạn nhé,Mik lấy cầu trượt thôi b nhé,1,-57.155464,-40.498413
bạn oei bạn không giao đồ cho mình ạ,B oei b k giao đồ cho mik a,4,-46.408272,4.814338
0965608877,0965608877,5,73.23555,-37.753834
số nhà 1à ngách 40/18 phố hồng tiến đường nguyễn văn cừ long biên hà nội,"Số nhà 1a, ngách 40/18 phố Hồng Tiến đường Nguyễn Văn Cừ long biên hn",2,12.452058,76.880119
thế cũng được bạn,Thế cũng đc b,1,-36.595528,-59.793221
cho mình mã vận đơn nha shop,Cho mình mã vận đơn nha shop,3,-23.762369,-8.411056
có mã vận đơn nhắn em nba,Có mã vận đơn nhắn e nba,0,47.675545,7.012139
khoảng mấy ngày ạ,Khoảng mấy ngày ạ,2,-14.045214,21.740719
hàng mới 100% đúng không ạ,Hàng mới 100% đúng k ạ?,2,-30.343454,32.064247
sao trên stt là 990 ạ,Sao trên stt là 990 ạ?,3,32.829937,-14.135993
đây ạ,Đây ah,1,-5.084341,-36.68401
ủa sao em đọc xả kho còn 990 ạ,Ủa sao e đọc xả kho còn 990 ạ,0,70.361267,10.509602
cho mình lấy 2 cái thanh chắn cầu thang nhé,Cho mình lấy 2 cái thanh chắn cầu thang nhé,1,-43.877853,-31.10906
không đặt thêm được hả bạn,K đặt thêm được hả bạn,4,-70.025635,10.437068
0979300683,0979300683,5,80.583244,-34.682316
178/4g phan đăng lưu p4 phú nhuận,"178/4g phan đăng lưu,p4, phú nhuận",5,42.234531,-39.189182
chất liệu là gì thế,Chất liệu là gì thế,1,6.277043,-52.255676
có thảm kg bạn,Có thấm kg bạn,1,-9.623528,-43.779488
kích thước như thế nào ạ,Kich thuoc ntn ah,5,14.624629,-75.706657
cái này không tập đi được shop ạ,Cái này không tập đi được shop ạ,4,-60.463116,-22.816736
vẫn được này ạ,Vẫn đc này ạ,1,-38.065506,-49.404236
đã không ạ,Dạ ko ạ,4,-69.585106,10.587557
bạn check giúp mình nhé,B check giúp mình nhé,4,-40.582962,25.935007
gửi mình với,gửi mình với,1,-66.890175,-42.300442
mình nhận được thành chắn cầu thang shop gửi rồi,mình nhận đc thanh chắn cầu thang shop gửi rồi,2,-36.735554,58.602207
đổi trả như nào hả shop ví dụ máy về chạy bị lỗi,"Đổi trả như nào hả shop, ví dụ máy về chạy bị lỗi",3,28.945316,-19.517141
mình viết nhầm,Mình viết nhầm,0,48.366737,20.244165
bạn gọi mình nhé,B gọi mình nhé,4,-71.718712,-7.329615
083 5338393,083 5338393,5,62.977901,-53.495819
không ạ,K ạ,4,-89.62735,7.303258
số nhà 26 ngách 41 ngõ thịnh quang - tây sơn - đống đa hà nội,Số nhà 26 ngách 41 ngõ Thịnh Quang - Tây Sơn - Đống Đa Hà nội,2,14.638422,76.769585
hàng cồng kềnh nên tối mình mới về nhà nhận được,hàng cồng kềnh nên tối mình mới về nhà nhận đc,2,-7.871529,41.733433
chỗ nào bạn vẽ giúp mình được không,chõ nào bạn vẽ giúp mình đc k,4,-37.492165,7.55418
không biết bị dư hay là lắp chỗ nà,k biết bị dư hay là lắp chỗ nà,3,16.074028,-9.578753
nhưng có miếng này,nhưng có miếng này,3,5.866972,-36.808071
mình nhận được cái ghế,mình nhận đc cai ghế,4,-60.225941,0.916367
tại bữa tưởng bạn bỏ tháp trong quây luôn,tại bữa tưởng bạn bỏ tháp trong quây luôn,0,47.079376,29.674543
mà chưa nhận được quây,mà chưa nhận đc quây,4,-61.84856,31.127457
nhưng hôm nay con ngựa nâu không được đẹp như mình nghĩ,Nhưng hôm nay con ngựa nâu ko dc đẹp như mình nghĩ,2,-0.057574,43.195412
thấy hàng cũng ổn,Thấy hàng cũng ổn,2,-4.426906,41.529648
mình cũng hay mua bên bạn,Mình cũng hay mua bên bạn,4,-69.968903,-26.016088
nhưng mà vẽ mực lem nhem,Nhưng mà vẽ mực lem nhem,0,94.072517,7.474849
thú nhún dày,Thú nhún dày,5,39.081161,-50.218121
phải không bạn giao đi,Pk b giao đi,4,-80.588654,18.852533
mình lấy cái xanh nhé,M lấy cái xanh nhé,1,-30.802076,-20.334568
0855868868,0855868868,5,62.252983,-32.738323
nhà b5 ngõ 195 đội cấn,Nhà b5 ngõ 195 đội cấn,0,57.506287,51.105587
với bóng cho cao thấp được hay sao ý shop nhỉ,Vs bảng cho cao thấp dc hay sao ý sh nhỉ,1,-26.429359,-39.726849
có cả bộ chữ dính trên bảng như ảnh kèm theo chứ ạ,Có cả bộ chữ dính trên bảng như ảnh kèm theo chứ ạ.,3,23.233406,-24.27305
cho mình link với,Cho mình link vs,1,-38.553341,-28.130312
mình lấy cả thảm nữa nhé,Mình lấy cả thảm nữa nhé,1,-54.920441,-35.273308
cho mình sửa lại đơn hàng,Cho mình sửa lại đơn hàng,4,-35.590725,26.895149
nguyễn hằng,Nguyệt Hằng,0,40.863419,53.89785
0868600128,0868600128,5,61.033558,-33.055943
86 nguyễn đáng phường 7 thành phố trà vinh,"86 Nguyễn Đáng , phường 7, TP Trà Vinh",0,41.731602,64.953896
size to nhất là 80 à bạn,Size to nhất là 80 à bạn,3,11.269916,-17.355562
gì z bạn,Gì z b,3,32.639301,-17.791332
không cần chân theo kiểu ép lực đâu ạ,Ko cần chắn theo kiểu ép lực đâu ạ,0,50.044708,34.388016
được toà nhà hoà phát 46 phố vọng,Đc: toà nhà Hoà Phát 46 phố Vọng,0,38.92659,57.316311
ngựa bập bênh hết hả bạn,Ngựa bập bênh hết hả b,3,19.378002,-13.896327
tối đa dài được 1012 ạ,tối đa dài đc 1012 ạ,0,49.954124,31.274834
bé 4 với 9 tuổi dùng được không ạ,bé 4 với 9 tuổi dùng đc k ạ,4,-34.006748,14.229625
máy pump in style advance,Máy pump in style advance,5,41.097141,-49.665718
có máy tiệt trùng uv của fatz chưa ạ,Có máy tiệt trùng uv của fatz chưa ạ,3,2.664817,-8.396867
vậy để em qua shop mua luôn,Vậy để e qua shop mua luôn,4,-75.648247,-5.613246
chính sách như nào vậy ad,Chính sách như nào vậy ad,5,23.067942,-40.092434
không để mình qua lấy luôn,Ko để mình qua lấy luôn,4,-68.661118,-1.839603
mấy giờ shop bạn đóng cuae,Mấy h shop bạn đóng cuae,3,23.673843,20.617462
gọi số nayd hộ mình,Gọi số nayd hộ mình,2,9.247074,44.781689
vậy bạn gọi số này nhé 094 597 8986,Vậy bạn gọi số này nhé: 094 597 8986,0,39.441929,-0.27528
số 5 ngõ 34/12 âu cơ,Số 5 ngõ 34/12 Âu Cơ,2,5.756835,62.54842
mình ở ngay gần thôi,Mình ở ngay gần thôi,2,-5.163633,60.650284
247k ạ,247k ạ?,0,70.048347,4.234658
ngựa bập bênh bạn về thêm chưa ạ,ngựa bập bênh b ve thêm chưa ah,3,-5.101502,11.134892
vậy hả bạn,vậy hả b,1,-34.982613,-58.929199
đeo nhỏ xíu không tới đầu luôn ý,đeo nhỏ xiu k tới đầu luôn ý,0,52.763027,29.443901
mà bé mới 10 tháng,ma bé mới 10 tháng,2,-31.973616,50.850025
bế nhà mình đeo bị bé tí,be nha minh đeo bị bé tí,2,21.004778,38.127487
giờ mình mới nhận được cái gối con ong,gio minh mới nhân đc cái gối con ong,2,-8.309754,36.841526
người het hang ha bạn,ngưa het hang ha b,0,60.552708,30.026194
giao hôm nay thì tớ nhận được,Giao hnay thì t nhận đc,4,-66.733322,46.59024
0986618109,0986618109,5,71.270134,-38.742764
ngách 86 ngõ 559 kim ngưu bạn nhé,Ngách 86 ngõ 559 kim ngưu b nhé,2,31.044231,47.513153
nếu giao được trong trưa mai cho mình thì tốt ạ,Nếu giao đc trong trưa mai cho mình thì tốt ạ,4,-40.324821,33.254547
mình làm quà sinh nhật cho con mình,Mình làm quà sinh nhật cho con mình,3,5.07957,7.327332
0964958299,0964958299,5,65.995865,-41.761269
ngõ 78 giải phóng ngách 1 nhà tập thể phương mai ạ,"Ngõ 78 giải phóng, ngách 1, nhà tập thể phương mai ạ",2,13.998348,54.206066
mình thử được rồi bạn,Mình thử được rồi bạn,4,-43.453693,35.294579
bấm 2 nút luôn mà không thấy phản khói,Bấm 2 nút luôn mà hok thấy phun khói,0,40.766277,28.642595
rồi em đổ vào cái lỗ phía trên,Rồi em. Đổ vào cái lỗ phía trên,0,32.313946,12.65486
mình ở lâm đồng,Mình ở Lâm Đồng,2,9.415459,60.907818
chỗ mình khoảng tròn ý bạn,Chỗ mình khoanh tròn ý bạn,2,3.686961,19.474451
mình muốn đặt 2 sản phẩm này,Mình muốn đặt 2 sp này,1,-49.492344,-38.025883
vananh nguyen 0961139039,Vananh Nguyen 0961139039,5,52.951248,-66.785583
vietcombank đó,Vietcom đó,0,65.38707,17.178284
và ngựa này,Và ngựa này,1,-15.967152,-52.838943
bé 1 5 tuổi ngồi được chưa ạ,Bé 1.5 tuổi ngồi đc chưa ạ,4,-35.222893,14.000152
bộ này bao nh ạ,Bo nay bao nh ah,1,0.084908,-46.178898
vì để không vừa bình 240ml,Vì để k vừa bình 240ml,2,-2.83254,57.679531
611 lĩnh nam,611 lĩnh nam,5,39.689228,-40.581314
để vừa bình 240ml không bạn,Để vừa bình 240ml k b,2,-27.512037,27.36236
loại này hâm nhanh hơn fatz không bạn,Loại này hâm nhanh hơn fatz k b,3,12.684928,-21.94664
moaz có dòng này thôi ạ,Moaz có dòng này thôi ạ?,3,21.313492,-27.612616
để mình còn đi mua cho,Để mk còn đi mua cho,1,-64.409874,-39.856819
đúng rồi shop,Đúng rồi shop,4,-70.180397,14.197052
11 ngõ 23 phan phù tiên- cát linh- đống đa-hn 0944647666,"11 ngõ 23 phan phù tiên- cát linh- đống đa-hn
📞0944647666",5,40.337601,-40.747147
xã văn khê - mê linh - hà nội,Xã Văn Khê - Mê Linh - Hà nội,2,13.693323,78.635902
mình lấy sản phẩm này,Minh lay san pham nay,1,-48.993984,-38.042973
để mình cân nhắc thêm,Để mình cân nhắc thêm,0,47.115299,18.867912
có của bé gái càng tôta,Có của bé gái càng tôta,0,52.607712,-0.986794
đúng rồi shop ạ 2 set 18-36 tháng,Đúng rồi shop ạ. 2 set 18-36 tháng,3,0.633857,14.362427
mình ở 85 đội cấn -hn 0904354988,Mình ở 85 Đội Cấn -HN. 0904354988,0,98.158188,5.89889
mình ở đội cấn - hà nội,Mình ở Đội Cấn - Hà Nội,2,-15.26216,73.864471
bây giờ đổi thế nào hả shop,Bây h đổi thế nào hả shop?,1,3.893106,-52.397427
đổi lại hàng cho mình nhé,Đổi lại hàng cho mình nhé,4,-68.197472,-8.720312
id đây,Id đây,5,43.593536,-45.915646
đây bạn,Đây b,3,-21.32078,3.796292
nhưng 10 ngày rồi chưa thấy,Nhưng 10 ngày rồi chưa thấy,2,-6.878079,41.338314
bạn thấy đơn của mình chưa ạ,B thấy đơn của mình chưa ạ,4,-70.967979,-22.398489
mình mua 3 món này nè bạn,Mình mua 3 món này nè b,3,-12.474407,-17.52813
đơn mình mua cả tuần này rồi mà sao mình chưa thấy gửi bạn nhỉ,Đơn mình mua cả tuần nay rồi mà sao mình chưa thấy gửi b nhỉ,4,-55.100609,-17.000887
bao giờ lại có hàng ạ,Bao giờ lại có hàng ạ?,4,-82.495979,8.008557
tầm 5h bạn ạ,Tầm 5h b ạ,3,-5.849424,14.683597
sẵn đúng không bạn,Sẵn dung k b,2,-13.969853,17.48966
chị gọi không được,C gọi k đc,4,-78.180107,25.601828
đây ạ,Đây ạ,1,-5.96963,-36.335583
mình chuyển rồi nhé,Mình chuyển rồi nhé,4,-69.033615,-3.701408
bộ mình mua ấy,bộ mình mua ấy,1,-59.264263,-35.863644
đúng rồi đó,đúng rùi đó,4,-52.429867,31.329979
mình nhận rồi,M nhận rồi,4,-70.984352,36.72393
sớm nhất nha,Sớm nhất nha,0,24.745476,28.492657
uh thôi chốt ngôi nhà toy house size to nhất nhé,Uh thôi chốt ngôi nha toy house size to nhất nhé,0,55.069126,28.639767
mình lấy mẫu ngồi nhà size to nhất,M lấy mẫu ngồi nhà size to nhất,3,-10.36004,-6.048258
mình ở phúc thọ ạ,M ở Phú Thọ ạ,2,10.530652,54.660072
cho mình quây bóng hoa 1m53- 1m56 ạ,Cho m quây bông hoa 1m53- 1m56 ạ,3,29.337152,2.381711
m8x2m thì không về nữa oy hả chị,M8x2m thì k ve nữa oy hả c,2,-1.946261,18.766418
nhựa này chắc chắc như hình hả chị,Nhựa này chắc chắn như hình hả c,1,4.0148,-49.564754
cái này cũng m8x2m vậy hả chị,Cái này cug m8x2m vậy hả c,3,3.725628,-35.744774
thỏ,Thỏ,5,38.200043,-53.535919
cho chị link i,Cho c link i,3,25.330107,5.319896
để mình về độ,Để mình về đo,4,-38.613743,21.804771
lằng nhằng thế ạ,Lằng nhằng thế ạ,0,70.167999,-0.16003
mình chưa đo,Mình chưa đo,2,15.077348,34.123707
có bạn,Có bạn,1,-42.825886,-71.92585
cod,Cod,5,42.250572,-67.562576
cho chị sách lắp với,Cho chị cách lắp với,1,-31.825848,-15.282226
bạn vẫn cầm máy,Bạn vẫn cầm máy,3,0.519786,13.965559
ui nhầm thì,Ui! Nhầm thì,0,48.868103,5.399426
0987552168,0987552168,5,66.997673,-38.543335
theo được trên nhà,Theo đc trên nhà,2,-32.508301,49.442619
giao hôm nay được không bạn,Giao Hnay đc k b,4,-67.489883,46.898579
mình thấy shop vừa đăng bài,M thấy shop vừa đăng bài,2,-13.427638,27.787319
bao giờ shop về hàng vậy,Bao giờ shop về hàng vậy,4,-78.812248,9.97343
em đang cần luôn,E đang cần luôn,4,-62.350025,0.657145
em ch khoản luôn,E ch khoản luôn,0,54.176094,25.485817
tưởng hồng hà ạ,Đường hồng hà ạ,2,-16.560797,72.679588
cho em đặt 1 quây vuông miện vàng size 160x186 shop nha,Cho e đặt 1 quây vương miện vàng size 160x186 shop nhâ,3,33.496353,5.707962
mình lấy thì mình báo nhé,M lấy thì m báo nhé,4,-62.397018,-6.696487
cổ phễu không cho được 1 lần luôn ạ,Cổ phễu k cho được 1 lần luôn ạ.,2,4.102019,20.552946
cái 1890k ấy,Cái 1890k ấy,0,57.726643,11.489992
đúng không,Đúng k,4,-81.179672,14.753451
cái này nhỏ hơn cái hôm triệu mình hỏi bạn,Cái này nhỏ hơn cái hôm tr mình hỏi bạn,1,-23.270552,-27.75176
xếp được khoảng mấy bình bạn,Xếp đc khoảng mấy bình bạn,2,-28.8249,30.37719
em vừa đặt rồi ạ,E vừa đặt r ạ,4,-48.11771,6.358752
0979343955,0979343955,5,65.65876,-43.982445
sản 21 minh hoà 2 mình khui hoài đức hà nội ạ,"Sn 21 Minh Hoà 2, Minh Khai, Hoài Đức Hà Nội ạ",2,14.619859,75.935104
nay mình chưa nhận được hàng nhỉ,Nay m chưa nhận đc hàg nhỉ,4,-66.689247,40.704941
mà bạn mình mua sau mình,mà bạn mình mua sau mình,4,-67.680725,-26.268091
ở ngoài hà nội,ở ngoài HN,2,-18.916151,78.529526
hôm qua bạn mình mua sau mình mà bạn giao hàng luôn rồi,hôm qua bạn mình mua sau mình mà bạn giao hàng luôn rồi,4,-75.338608,26.814011
bên bạn giao hàng luôn giúp mình nhé,Bên bạn giao hàng luôn giúp m nhé,4,-75.433525,27.179396
mình đặt rồ,M đặt roof,0,45.623493,18.775692
vậy gửi chung luôn giúp mình nhé ạ,Vậy gửi chung luôn giúp m nhé ạ,4,-54.633465,-9.360332
mình đặt đơn mới,M đặt đơn mới,4,-61.496326,-1.003184
vậy đặt ở đâu ạ,Vạy đặt ở đâu ạ,2,-28.3873,55.503227
được nhé,Đc nhé,4,-73.880699,28.555637
gửi luôn mình 1 con này nhé shop,Gửi luôn m 1 con này nhé sh,4,-58.387241,-27.781563
1 size 30 1 size 45 1 size 80,"1 size 30, 1 size 45, 1 size 80",3,29.876268,-3.562538
vậy cho mình 3 con 3 size khác nhau nhé,vậy cho mình 3 con 3 size khác nhau nhé,1,-42.82864,-22.488079
mình muốn mua mà không biết nên vận chuyển bóng cách nào cho đỡ phí v/c vì hàng này cũng kềnh quá,M muốn mua mà k biết nên vận chuyển bằng cách nào cho đỡ phí v/c vì hàng này cồng kềnh quá,3,-0.683974,7.142301
và cái này nữa,Và cái này nữa,1,-20.177794,-72.041054
quây hola shop ạ,Quây hola shop ạ,3,13.989882,-24.911682
quây 1m8x2m và bập bênh cầu trượt,Quây 1m8x2m và bập bênh cầu trượt,3,-3.867876,-28.083864
mình ở tiền núi cơ không phải ở thành phố bạn à,M ở miền núi cơ k phải ở tp b ak,2,-29.570524,63.165089
shop ở hà nội phải không,Shop ở hà nội phải k ?,2,-21.001654,76.319206
mình còn định mua cả bập bênh cầu trượt nữa,M còn định mua cả bập bênh cầu trượt nữa,1,-21.350048,-41.978958
vậy ạ,Vậy ạ,1,-32.97739,-67.608124
bây giờ hàng về tiếp ạ,bjo hàng về tiếp ạ,2,-12.568401,21.866312
0938886200,0938886200,5,68.441406,-47.788403
981/5 cmt 8 p7 tb,981/5 CMT8.p7.tb,5,48.574104,-68.116982
mình 2 cái nha,Mình 2 cái nha,1,-59.85899,-35.990849
ạ cửa hàng còn các loại cầu tuột khác ạ cho mình xin thông tin,"Ah cửa hàng còn các loại cầu tuột khác ah,cho mình xin thông tin",1,-12.8508,-29.729107
mình tên thảo,Mình tên Thảo,0,66.022858,27.012882
này nè bạn,Này nè bạn,3,19.987158,-31.154148
mình hỏi luôn cái này,Mình hỏi luôn cái này,1,-51.516022,-44.283943
cho nhanh nối thôi,Chỉ thanh nối thôi,3,28.797283,2.154547
sáng nay nhận được không ạ,Sáng nay nhận được không ạ,4,-66.619698,41.415958
tưởng 0986676387,Hường 0986676387,5,40.662174,-42.797363
em lấy thêm bộ thì này nữa,Em lấy thêm bộ thìa này nữa,1,-51.841393,-47.825188
ct3 the pride đường tố hữu hà đông ạ,"Ct3 the pride, đường tố hữu, hà đông ạ",0,52.942734,58.942963
cho em đặt hàng,Cho em đặt hàng,4,-69.093567,-15.220094
vì chị sẽ gửi nhờ dưới lễ tân,Vì chị sẽ gửi nhờ dưới lễ tân,2,29.660631,44.239098
to à chung cư green park ngõ 6 đường đình nghệ cầu giấy,"Toà A chung cư green park, ngõ 6 dương đình nghệ, cầu giấy",2,13.430962,55.117634
thường anh 0984555787,Phương Anh 0984555787,0,96.119232,6.285474
mình vừa hỏi báo hết hàng rồi bạn,M vừa hỏi báo hết hàng r b,4,-51.888695,25.546057
mắc châu sơn la,Mộc châu sơn la,0,97.066757,8.251342
em muốn ao 2 con,E mun ao 2 con,3,3.25757,-3.212816
biết nhại lại mà,Biết nhại lại mà,0,27.507504,28.959368
tư vấn mình nhé,Tư vấn mình nhé,3,-16.644085,13.017886
569/120 tổ 7 ấp kim giao thị trấn ngãi giao huyên châu đức tinh br-vt 0988317078,"569/120,tổ 7, ấp kim giao,thị trấn ngãi giao,huyên châu đức, tinh br-vt
0988317078",0,87.021072,26.466461
vietcombank à,Vietcombank ak,0,70.310677,12.85861
shop kích thước lai giup minh,Shop kt lai giup minh,5,18.620941,-60.917686
vậy chot minh mau nay nhà,Vay chot minh mau nay nha,2,27.006504,56.879158
mẫu này thì kích thuớc nhỏ,Mau nay thì kích thước nhỏ,5,20.058535,-42.550358
kích thước như vậy luôn,Kích thước như vậy luôn,5,16.339792,-72.951103
lấy mình không nay nhà,Lay minh khung nay nha,4,-72.52597,41.482838
nhầm hình huỷ rồi,Nhầm mình huỷ r,0,53.258099,30.116484
hôm qua mình nhận hàng rồi,Hqua mình nhạn hàng r,4,-64.181259,43.92366
cố gắng sớm giúp mình là được,Cố gắng sớm giúp m là đc,2,-9.369826,42.991905
ủa được bạn nha,Ừa đc b nhap,2,-16.601723,20.698404
0968256166,0968256166,5,59.295784,-32.39439
nhận được báo em nhé,Nhận đc báo e nhé,4,-69.345833,35.458462
0948288515,0948288515,5,74.89254,-34.404972
72 ngõ 69a hoàng văn thái - thanh xuân,72 ngõ 69a hoàng văn thái - thanh xuân,2,4.641808,62.916935
em nhận được rồi ạ,Em nhận dc rồi ạ,4,-72.438637,26.226734
ạ nhìn được chưa ạ,A nhận dc chưa ạ,4,-39.106472,14.954658
là loại nhựa gì và của hãng gì vậy bạn,Là loại nhựa j và của hãng j vậy b,1,-22.858255,-59.208927
là loại nhựa gì và của hãng gì vậy bạn,Là loại nhựa j và của hãng j vậy b,1,-22.858665,-59.208931
0983586390,0983586390,5,75.783028,-41.481445
1 ghế à bạn,1 ghế à b,1,-33.205421,-52.250584
mai là lnao bạn,Mai là lnao b,3,-3.175102,14.814471
sao bạn,Sao b,1,-37.228142,-59.276127
0962888513,0962888513,5,69.341141,-29.672506
to g2 vinhomé green bay mễ trì,"Toà g2, vinhomes green bay , mễ trì",5,38.961914,-50.166054
máy về lại chưa bạn,Máy về lại chưa b,4,-77.461143,-1.203469
của sẵn bóng không bạn,Coa sẵn bóng k b,4,-23.334162,5.845246
ăn giống ạ,An Giang ạ,3,21.344713,-17.448324
40-45-50,40-45-50,5,62.447254,-41.933311
máy mình hỏi í,Máy mih hỏi í,1,-27.84787,-18.668747
được bạn an,được b an,4,-79.329201,16.162872
ngày hôm nay được không bạn,ngày hnay được k bạn,4,-67.319504,46.71804
tớ mua cho bé trai,Tớ mua cho bé trai,3,-26.287704,-11.945566
thảm với bóng cũng hãng luôn ạ,Thảm với bóng cùng hãng luôn ạ,1,-16.989819,-40.725227
nhà số 8 ngách 133/13 tân ấp phúc xá ba mình ý,Nhà số 8 ngách 133/13 tân ấp phúc xá ba đình ý,0,35.827782,51.313484
nhà số 8 ngách 133/13 tân ấp phúc xá ba mình ý,Nhà số 8 ngách 133/13 tân ấp phúc xá ba đình ý,0,35.827675,51.313385
mẫu thảm silicon này,Mẫu thảm silicon nàyp,3,23.805857,-30.849056
họ shop,Ho shop!,3,16.312464,-8.304675
giờ bạn giao luôn không,Giờ bạn giao luôn ko,4,-78.568573,28.888124
đúng rồi bạn ạ,Đúng rồi b ạ,4,-74.097862,11.670618
123-thôn 8-phuong chánh phú hoà- bên cát- -bình dương,123-thôn 8-phuong chánh phú hoà- bên cát- -Bình Dương,5,42.2038,-40.327164
mình muốn mua,minh muon mua,1,-64.093536,-32.960289
hay là 950k ha shop,nay la 950k ha shop,3,11.525429,-26.064732
kích thước như thế nào vậy,Kích thươc ntn vậy,5,14.544671,-75.673767
tàu hoả với ô tô,Tàu hoả với ô tô,0,85.072876,15.293398
cho bé từ 12m,Cho bé từ 12m,3,8.812662,8.327917
bàn chải bc 3,Bàn chải bc 3,0,78.776756,16.254404
🥴🥴🥴 vậy thôi cho mình huỷ đơn nha,🥴🥴🥴 vậy thôi cho m huỷ đơn nha,3,18.099911,2.337096
với lọ rửa tay này nữa,Với lọ rửa tay này nữa,0,47.228878,-6.926049
haizz,Haizz!!!,5,57.232311,-34.798313
0364191207,0364191207,5,65.915627,-26.824041
a23/28 quoc lo 50 binh hung binh thanh,"A23/28 quoc lo 50 binh hung , binh chanh",5,38.965031,-50.358688
vậy giao nhe shop,Vay giao nhe shop,4,-34.874905,10.343385
giao 1c nhe sho,Giao 1c nhe sho,0,92.319016,19.730017
mình sợ nhầm,Mình sợ nhầm,2,19.554882,36.768112
mình cọc 300k cho chọn nha,Mình cọc 300k cho chẵn nha,0,49.166084,16.268568
vậy mình cọc 50% nha,Vậy mình cọc 50% nha,0,48.686863,13.807966
cả 2 bộ này của hola àh shop,Cả 2 bộ này của hola àh shop,3,6.849106,-38.522381
mà có cả xích đu cầu trượt,Mà có cả xích đu cầu trượt,1,-21.958759,-45.504116
cho mình hỏi,Cho mk hỏi,1,-74.806503,-47.410454
